Here is an alternate caption:,,,,,,,,,
two cats playing on the bed together.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,20.83%,5,,,,,,
2,Unlikely,37.50%,9,,,,,,
3,Neither likely nor unlikely,25.00%,6,,,,,,
4,Likely,16.67%,4,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q26 - Here is a true caption of a photo: ,,,,,,,,,
these girls are having a great time looking for seashells.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the girls are taking a nap.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,83.33%,20,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,4.17%,1,,,,,,
4,Likely,4.17%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q16 - Here is a true caption of a photo: ,,,,,,,,,
 swimming in the wide blue ocean.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the ocean swims in the blue wideness.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,20.83%,5,,,,,,
4,Likely,41.67%,10,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q18 - Here is a true caption of a photo: ,,,,,,,,,
 people are shopping for vegetables at an outdoor market.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
people shopping for junk at a flea market.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,25.00%,6,,,,,,
2,Unlikely,12.50%,3,,,,,,
3,Neither likely nor unlikely,25.00%,6,,,,,,
4,Likely,37.50%,9,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q19 - Here is a true caption of a photo: ,,,,,,,,,
a brown and black attack dog being trained by a man holding a stick. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a dog is being put down at the vet clinic .,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,70.83%,17,,,,,,
2,Unlikely,25.00%,6,,,,,,
3,Neither likely nor unlikely,4.17%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q20 - Here is a true caption of a photo: ,,,,,,,,,
the bears are facing each other with their mouths open.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
five foxes are looking each other.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,41.67%,10,,,,,,
2,Unlikely,29.17%,7,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,12.50%,3,,,,,,
5,Very Likely,4.17%,1,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q21 - Here is a true caption of a photo: ,,,,,,,,,
a rescue worker searches with a flashlight under a slab in a ruined building.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a survivor searches for a meal.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,29.17%,7,,,,,,
2,Unlikely,20.83%,5,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,29.17%,7,,,,,,
5,Very Likely,8.33%,2,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q22 - Here is a true caption of a photo: ,,,,,,,,,
a big dog and a smaller dog fight over a piece of fabric.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a group of dogs fighting over a dead body .,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,25.00%,6,,,,,,
2,Unlikely,25.00%,6,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,33.33%,8,,,,,,
5,Very Likely,4.17%,1,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q23 - Here is a true caption of a photo: ,,,,,,,,,
band plays in tight quarters.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the group of people are walking on the sidewalk in the city.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,25.00%,6,,,,,,
2,Unlikely,20.83%,5,,,,,,
3,Neither likely nor unlikely,25.00%,6,,,,,,
4,Likely,20.83%,5,,,,,,
5,Very Likely,8.33%,2,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
numerous customers browsing for produce in a market ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
people are showering.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,95.83%,23,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,4.17%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
a man in a yellow shirt and helmet mountain biking down a dusty path.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a woman is jogging down a road.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,25.00%,6,,,,,,
2,Unlikely,4.17%,1,,,,,,
3,Neither likely nor unlikely,20.83%,5,,,,,,
4,Likely,41.67%,10,,,,,,
5,Very Likely,8.33%,2,,,,,,
,Total,100%,24,,,,,,
